200 833 35160
1 179 289.549 197.847
2 179 287.013 194.337
1 198 451.17 235.641
2 198 460.989 235.314
1 202 295.248 140.11
2 202 293.397 132.64
1 259 398.316 207.542
2 259 402.301 205.891
1 261 547.342 204.849
2 261 557.273 203.314
1 280 301.736 230.106
2 280 300.478 229.424
1 286 430.316 172.039
2 286 436.895 167.986
1 290 347.788 190.608
2 290 349.226 188.051
1 296 406.781 93.1693
2 296 416.105 77.3938
1 301 462.659 139.864
2 301 497.882 115.14
1 313 351.36 111.862
2 313 353.788 101.938
1 315 144.94 209.337
2 315 132.8 207.211
1 316 379.005 183.686
2 316 381.796 181.023
1 319 364.207 157.683
2 319 367.542 151.474
1 325 232.435 214.787
2 325 227.986 213.506
1 327 500.37 209.08
2 327 511.72 207.134
1 343 139.339 226.877
2 343 129.939 226.195
1 353 248.386 184.572
2 353 244.065 181.227
1 367 202.955 49.8653
2 367 187.856 25.3364
1 396 219.598 170.432
2 396 214.847 167.14
1 398 419.015 215.709
2 398 429.342 213.175
1 411 15.7589 229.521
2 411 1.94616 229.045
1 444 587.976 173.444
2 444 601.8 170.011
1 446 541.416 163.964
2 446 552.858 160.034
1 448 324.877 208.049
2 448 325.238 205.682
1 449 52.1553 160.142
2 449 38.5677 156.09
1 452 583.706 177.096
2 452 598.646 173.532
1 463 462.772 115.676
2 463 473.458 106.371
1 468 583.858 167.056
2 468 598.924 162.891
1 469 389.368 125.911
2 469 395.966 115.058
1 481 576.2 225.27
2 481 587.4 224.626
1 482 541.412 217.12
2 482 550.818 216.148
1 487 33.6372 175.627
2 487 20.1979 172.606
1 516 26.2926 214.396
2 516 13.9315 213.318
1 519 330.779 59.1006
2 519 332.139 36.2803
1 532 476.94 178.465
2 532 488.972 173.747
1 540 603.978 184.559
2 540 617.037 182.01
1 571 447.297 170.77
2 571 452.638 167.866
1 573 336.712 133.143
2 573 338.238 123.385
1 581 150.477 239.547
2 581 140.664 239.521
1 588 333.08 232.503
2 588 333.688 232.155
1 603 84.8282 160.789
2 603 68.9271 155.433
1 629 428.212 176.748
2 629 434.209 173.242
1 646 342.02 226.783
2 646 342.97 226.213
1 655 147.123 209.339
2 655 129.067 206.137
1 658 95.2746 207.158
2 658 68.0356 203.177
1 664 525.522 201.118
2 664 541.838 198.031
1 667 275.745 143.615
2 667 270.716 132.662
1 673 608.231 237.854
2 673 621.986 237.751
1 681 360.426 207.873
2 681 362.465 206.253
1 697 409.496 204.03
2 697 413.886 202.266
1 709 415.47 212.833
2 709 420.979 211.265
1 717 123.652 183.518
2 717 114.167 180.789
1 731 546.668 226.822
2 731 558.572 226.13
1 743 603.902 216.127
2 743 618.466 214.903
1 771 348.941 226.937
2 771 350.319 226.315
1 777 371.249 158.819
2 777 377.619 148.729
1 791 588.281 184.978
2 791 601.612 182.244
1 804 207.416 210.433
2 804 201.415 208.856
1 815 411.872 116.171
2 815 419.55 105.822
1 821 562.404 191.466
2 821 584.999 186.942
1 837 262.675 155.071
2 837 259.799 150.809
1 846 199.283 233.108
2 846 193.645 232.786
1 867 303.458 205.341
2 867 302.091 202.477
1 878 54.1123 225.516
2 878 20.1404 223.665
1 882 414.259 193.703
2 882 420.666 190.556
1 885 450.014 154.197
2 885 457.146 149.49
1 886 227.938 179.181
2 886 222.901 175.854
1 903 559.253 188.219
2 903 575.711 184.657
1 905 139.646 135.089
2 905 126.715 127.567
1 910 137.544 174.995
2 910 123.074 169.839
1 920 211.454 213.504
2 920 206.749 212.355
1 927 218.95 97.2558
2 927 198.772 68.7516
1 928 254.177 197.217
2 928 250.191 194.627
1 935 484.704 230.29
2 935 491.745 229.875
1 939 263.412 211.307
2 939 260.667 209.915
1 963 300.963 191.462
2 963 299.613 188.022
1 971 341.859 195.382
2 971 343.478 192.077
1 989 196.993 236.594
2 989 185.751 236.282
2 3 300.049 199.73
3 3 299.182 197.98
2 6 559.008 178.472
3 6 583.06 172.28
2 14 492.91 103.356
3 14 537.105 68.4302
2 15 44.5225 169.671
3 15 31.1926 166.268
2 17 304.113 99.8114
3 17 302.675 87.1212
2 35 527.961 214.016
3 35 538.554 212.692
2 38 592.782 127.536
3 38 617.001 117.551
2 42 300.877 169.915
3 42 299.682 165.535
2 44 161.829 149.794
3 44 146.036 140.787
2 45 446.428 234.418
3 45 452.028 234.17
2 53 47.0055 192.89
3 53 24.4582 188.999
2 54 483.53 189.926
3 54 491.269 187.556
2 56 568.111 197.41
3 56 581.284 195.148
2 57 408.631 167.74
3 57 417.112 160.825
2 59 455.894 215.605
3 59 462.839 214.358
2 61 100.166 161.888
3 61 89.9925 158.273
2 64 282.396 191.14
3 64 279.449 187.31
2 69 597.103 210.76
3 69 611.37 209.255
2 84 460.326 170.158
3 84 468.087 166.295
2 89 42.4574 231.175
3 89 21.8281 230.519
2 106 20.7452 234.027
3 106 0.911476 233.631
2 110 199.216 64.997
3 110 177.86 34.0554
2 113 121.218 182.751
3 113 97.3186 175.869
2 115 270.686 175.784
3 115 268.357 172.752
2 119 552.443 190.88
3 119 579.769 185.106
2 120 234.309 187.501
3 120 230.389 185.1
2 130 26.8926 171.839
3 130 12.3468 168.456
2 132 100.178 137.611
3 132 64.4994 120.992
2 134 128.346 170.061
3 134 118.129 166.333
2 140 172.09 191.716
3 140 165.395 189.53
2 141 621.416 172.382
3 141 634.443 169.46
2 148 92.2599 48.6663
3 148 61.685 22.979
2 152 549.849 158.483
3 152 561.065 154.505
2 158 68.6931 122.8
3 158 45.7259 112.089
2 159 95.666 106.585
3 159 31.4193 68.3762
2 161 91.505 169.004
3 161 80.191 165.488
2 169 204.04 165.21
3 169 190.999 156.799
2 170 180.954 237.162
3 170 174.297 237.026
2 179 287.013 194.337
3 179 284.017 190.189
2 198 460.989 235.314
3 198 472.397 234.935
2 202 293.397 132.64
3 202 291.246 123.961
2 206 386.54 168.005
3 206 389.38 164.934
2 259 402.301 205.891
3 259 406.712 204.062
2 261 557.273 203.314
3 261 568.11 201.638
2 280 300.478 229.424
3 280 299.033 228.641
2 286 436.895 167.986
3 286 444.308 163.419
2 290 349.226 188.051
3 290 350.822 185.215
2 296 416.105 77.3938
3 296 427.673 57.8206
2 301 497.882 115.14
3 301 556.2 74.2042
2 313 353.788 101.938
3 313 356.625 90.3484
2 315 132.8 207.211
3 315 118.85 204.768
2 316 381.796 181.023
3 316 384.863 178.095
2 319 367.542 151.474
3 319 371.421 144.252
2 325 227.986 213.506
3 325 223.061 212.088
2 327 511.72 207.134
3 327 524.595 204.927
2 343 129.939 226.195
3 343 119.508 225.437
2 353 244.065 181.227
3 353 239.188 177.453
2 396 214.847 167.14
3 396 209.624 163.521
2 398 429.342 213.175
3 398 442.075 210.052
2 444 601.8 170.011
3 444 617.128 166.204
2 446 552.858 160.034
3 446 565.548 155.676
2 448 325.238 205.682
3 448 325.657 202.937
2 449 38.5677 156.09
3 449 23.5279 151.606
2 452 598.646 173.532
3 452 615.381 169.54
2 463 473.458 106.371
3 463 485.873 95.5603
2 468 598.924 162.891
3 468 615.815 158.221
2 469 395.966 115.058
3 469 403.953 101.923
2 481 587.4 224.626
3 481 599.625 223.923
2 482 550.818 216.148
3 482 561.06 215.09
2 487 20.1979 172.606
3 487 5.43499 169.287
2 516 13.9315 213.318
3 516 0.484191 212.146
2 519 332.139 36.2803
3 519 333.891 6.87157
2 532 488.972 173.747
3 532 503.002 168.246
2 533 349.558 185.91
3 533 350.799 183.639
2 540 617.037 182.01
3 540 631.355 179.215
2 571 452.638 167.866
3 571 458.447 164.706
2 573 338.238 123.385
3 573 340.071 111.666
2 581 140.664 239.521
3 581 129.645 239.491
2 588 333.688 232.155
3 588 334.356 231.772
2 603 68.9271 155.433
3 603 50.7197 149.301
2 629 434.209 173.242
3 629 440.909 169.326
2 646 342.97 226.213
3 646 344.005 225.592
2 655 129.067 206.137
3 655 106.799 202.188
2 658 68.0356 203.177
3 658 33.2828 198.098
2 664 541.838 198.031
3 664 560.969 194.411
2 667 270.716 132.662
3 667 264.398 118.902
2 673 621.986 237.751
3 673 637.121 237.639
2 681 362.465 206.253
3 681 364.721 204.46
2 697 413.886 202.266
3 697 418.729 200.319
2 709 420.979 211.265
3 709 427.162 209.506
2 717 114.167 180.789
3 717 103.719 177.784
2 731 558.572 226.13
3 731 571.797 225.362
2 743 618.466 214.903
3 743 634.605 213.546
2 771 350.319 226.315
3 771 351.835 225.63
2 777 377.619 148.729
3 777 385.796 135.775
2 791 601.612 182.244
3 791 616.336 179.224
2 804 201.415 208.856
3 804 194.737 207.103
2 815 419.55 105.822
3 815 428.629 93.5856
2 821 584.999 186.942
3 821 612.239 181.488
2 837 259.799 150.809
3 837 256.618 146.096
2 846 193.645 232.786
3 846 187.454 232.433
2 867 302.091 202.477
3 867 300.478 199.096
2 882 420.666 190.556
3 882 428.007 186.95
2 885 457.146 149.49
3 885 465.105 144.237
2 886 222.901 175.854
3 886 217.281 172.141
2 898 277.199 234.959
3 898 275.339 234.74
2 903 575.711 184.657
3 903 594.6 180.569
2 905 126.715 127.567
3 905 111.787 118.883
2 910 123.074 169.839
3 910 106.111 163.796
2 920 206.749 212.355
3 920 201.616 211.102
2 927 198.772 68.7516
3 927 168.524 26.0234
2 928 250.191 194.627
3 928 245.692 191.703
2 935 491.745 229.875
3 935 499.414 229.423
2 939 260.667 209.915
3 939 257.643 208.382
2 949 605.003 235.883
3 949 617.044 235.709
2 963 299.613 188.022
3 963 298.058 184.056
2 971 343.478 192.077
3 971 345.356 188.245
2 989 185.751 236.282
3 989 172.248 235.908
3 3 299.182 197.98
4 3 298.236 196.071
3 6 583.06 172.28
4 6 612.494 164.703
3 14 537.105 68.4302
4 14 611.651 9.51973
3 15 31.1926 166.268
4 15 16.507 162.519
3 17 302.675 87.1212
4 17 300.95 71.9049
3 35 538.554 212.692
4 35 550.284 211.227
3 42 299.682 165.535
4 42 298.327 160.571
3 44 146.036 140.787
4 44 126.74 129.782
3 45 452.028 234.17
4 45 458.147 233.9
3 54 491.269 187.556
4 54 499.777 184.951
3 56 581.284 195.148
4 56 595.934 192.634
3 57 417.112 160.825
4 57 427.388 152.447
3 59 462.839 214.358
4 59 470.533 212.977
3 61 89.9925 158.273
4 61 78.8322 154.307
3 64 279.449 187.31
4 64 276.0 182.829
3 69 611.37 209.255
4 69 627.185 207.586
3 84 468.087 166.295
4 84 476.756 161.98
3 113 97.3186 175.869
4 113 66.8875 167.105
3 115 268.357 172.752
4 115 265.797 169.419
3 119 579.769 185.106
4 119 614.377 177.793
3 120 230.389 185.1
4 120 226.092 182.467
3 132 64.4994 120.992
4 132 14.9954 97.9344
3 134 118.129 166.333
4 134 106.762 162.185
3 140 165.395 189.53
4 140 158.067 187.138
3 152 561.065 154.505
4 152 573.431 150.119
3 158 45.7259 112.089
4 158 18.1385 99.2238
3 161 80.191 165.488
4 161 67.6984 161.607
3 169 190.999 156.799
4 169 174.652 146.256
3 170 174.297 237.026
4 170 166.971 236.877
3 174 433.258 199.427
4 174 438.204 197.655
3 179 284.017 190.189
4 179 280.422 185.213
3 198 472.397 234.935
4 198 485.814 234.489
3 202 291.246 123.961
4 202 288.718 113.757
3 206 389.38 164.934
4 206 392.472 161.588
3 252 531.337 195.195
4 252 540.33 193.288
3 259 406.712 204.062
4 259 411.624 202.027
3 261 568.11 201.638
4 261 579.985 199.802
3 280 299.033 228.641
4 280 297.357 227.734
3 286 444.308 163.419
4 286 452.726 158.233
3 290 350.822 185.215
4 290 352.601 182.052
3 296 427.673 57.8206
4 296 442.408 32.8904
3 313 356.625 90.3484
4 313 359.981 76.6342
3 315 118.85 204.768
4 315 102.654 201.931
3 316 384.863 178.095
4 316 388.251 174.861
3 319 371.421 144.252
4 319 375.988 135.746
3 325 223.061 212.088
4 325 217.578 210.509
3 327 524.595 204.927
4 327 539.323 202.403
3 343 119.508 225.437
4 343 107.866 224.591
3 353 239.188 177.453
4 353 233.642 173.16
3 396 209.624 163.521
4 396 203.855 159.523
3 398 442.075 210.052
4 398 458.164 206.104
3 444 617.128 166.204
4 444 634.219 161.959
3 446 565.548 155.676
4 446 579.7 150.816
3 448 325.657 202.937
4 448 326.149 199.715
3 449 23.5279 151.606
4 449 6.78992 146.616
3 452 615.381 169.54
4 452 634.254 165.038
3 463 485.873 95.5603
4 463 500.473 82.8464
3 468 615.815 158.221
4 468 634.884 152.95
3 469 403.953 101.923
4 469 413.815 85.7023
3 481 599.625 223.923
4 481 613.022 223.153
3 482 561.06 215.09
4 482 572.252 213.933
3 509 478.571 212.367
4 509 485.398 211.177
3 521 119.482 196.672
4 521 110.917 194.821
3 532 503.002 168.246
4 532 519.574 161.749
3 533 350.799 183.639
4 533 352.149 181.169
3 571 458.447 164.706
4 571 464.788 161.258
3 573 340.071 111.666
4 573 342.314 97.3276
3 581 129.645 239.491
4 581 117.182 239.458
3 588 334.356 231.772
4 588 335.093 231.35
3 603 50.7197 149.301
4 603 29.6652 142.209
3 629 440.909 169.326
4 629 448.445 164.921
3 646 344.005 225.592
4 646 345.139 224.911
3 655 106.799 202.188
4 655 78.6518 197.195
3 664 560.969 194.411
4 664 583.711 190.109
3 667 264.398 118.902
4 667 256.222 101.095
3 681 364.721 204.46
4 681 367.23 202.466
3 697 418.729 200.319
4 697 424.098 198.162
3 709 427.162 209.506
4 709 434.152 207.517
3 717 103.719 177.784
4 717 92.1539 174.457
3 731 571.797 225.362
4 731 586.574 224.502
3 771 351.835 225.63
4 771 353.511 224.874
3 777 385.796 135.775
4 777 396.679 118.536
3 791 616.336 179.224
4 791 632.686 175.871
3 804 194.737 207.103
4 804 187.263 205.14
3 815 428.629 93.5856
4 815 439.53 78.8935
3 837 256.618 146.096
4 837 253.082 140.857
3 846 187.454 232.433
4 846 180.626 232.043
3 867 300.478 199.096
4 867 298.544 195.046
3 882 428.007 186.95
4 882 436.503 182.777
3 885 465.105 144.237
4 885 474.045 138.337
3 886 217.281 172.141
4 886 210.971 167.973
3 892 326.177 171.496
4 892 326.44 168.579
3 898 275.339 234.74
4 898 273.311 234.501
3 903 594.6 180.569
4 903 616.502 175.829
3 905 111.787 118.883
4 905 94.3595 108.745
3 910 106.111 163.796
4 910 85.9502 156.613
3 920 201.616 211.102
4 920 195.997 209.731
3 928 245.692 191.703
4 928 240.573 188.375
3 935 499.414 229.423
4 935 507.799 228.929
3 939 257.643 208.382
4 939 254.293 206.683
3 949 617.044 235.709
4 949 630.147 235.52
3 963 298.058 184.056
4 963 296.246 179.435
3 971 345.356 188.245
4 971 347.56 183.746
3 989 172.248 235.908
4 989 155.725 235.451
4 3 298.236 196.071
5 3 297.2 193.98
4 15 16.507 162.519
5 15 0.24799 158.368
4 17 300.95 71.9049
5 17 298.845 53.3247
4 35 550.284 211.227
5 35 563.345 209.595
4 42 298.327 160.571
5 42 296.779 154.897
4 44 126.74 129.782
5 44 102.63 116.032
4 45 458.147 233.9
5 45 464.86 233.604
4 49 217.9 171.593
5 49 213.534 168.668
4 54 499.777 184.951
5 54 509.174 182.074
4 56 595.934 192.634
5 56 612.325 189.82
4 57 427.388 152.447
5 57 440.097 142.086
4 59 470.533 212.977
5 59 479.102 211.439
4 61 78.8322 154.307
5 61 66.5335 149.937
4 64 276.0 182.829
5 64 271.91 177.514
4 84 476.756 161.98
5 84 486.504 157.128
4 113 66.8875 167.105
5 113 26.8225 155.566
4 115 265.797 169.419
5 115 262.971 165.738
4 120 226.092 182.467
5 120 221.363 179.57
4 134 106.762 162.185
5 134 94.0384 157.542
4 140 158.067 187.138
5 140 150.009 184.508
4 152 573.431 150.119
5 152 587.134 145.259
4 161 67.6984 161.607
5 161 53.8325 157.298
4 169 174.652 146.256
5 169 153.561 132.653
4 170 166.971 236.877
5 170 158.869 236.711
4 174 438.204 197.655
5 174 443.602 195.721
4 179 280.422 185.213
5 179 276.029 179.132
4 198 485.814 234.489
5 198 501.821 233.957
4 202 288.718 113.757
5 202 285.701 101.584
4 206 392.472 161.588
5 206 395.853 157.93
4 252 540.33 193.288
5 252 550.123 191.212
4 259 411.624 202.027
5 259 417.126 199.747
4 261 579.985 199.802
5 261 593.054 197.781
4 273 575.656 168.064
5 273 586.789 164.932
4 280 297.357 227.734
5 280 295.39 226.668
4 286 452.726 158.233
5 286 462.367 152.294
4 290 352.601 182.052
5 290 354.599 178.501
4 296 442.408 32.8904
5 296 461.814 0.0553155
4 313 359.981 76.6342
5 313 364.015 60.1527
4 315 102.654 201.931
5 315 83.6224 198.597
4 316 388.251 174.861
5 316 392.013 171.271
4 319 375.988 135.746
5 319 381.447 125.582
4 325 217.578 210.509
5 325 211.439 208.741
4 327 539.323 202.403
5 327 556.336 199.486
4 343 107.866 224.591
5 343 94.7874 223.641
4 353 233.642 173.16
5 353 227.279 168.235
4 396 203.855 159.523
5 396 197.45 155.085
4 398 458.164 206.104
5 398 479.139 200.959
4 446 579.7 150.816
5 446 595.583 145.362
4 448 326.149 199.715
5 448 326.734 195.879
4 463 500.473 82.8464
5 463 517.892 67.6781
4 469 413.815 85.7023
5 469 426.303 65.1629
4 481 613.022 223.153
5 481 627.766 222.305
4 482 572.252 213.933
5 482 584.534 212.664
4 509 485.398 211.177
5 509 492.84 209.88
4 521 110.917 194.821
5 521 101.588 192.805
4 532 519.574 161.749
5 532 539.445 153.957
4 533 352.149 181.169
5 533 353.622 178.473
4 571 464.788 161.258
5 571 471.737 157.478
4 573 342.314 97.3276
5 573 345.12 79.3827
4 581 117.182 239.458
5 581 102.974 239.42
4 588 335.093 231.35
5 588 335.909 230.882
4 603 29.6652 142.209
5 603 5.03885 133.914
4 629 448.445 164.921
5 629 456.982 159.931
4 646 345.139 224.911
5 646 346.384 224.164
4 655 78.6518 197.195
5 655 41.9412 190.685
4 664 583.711 190.109
5 664 611.193 184.91
4 667 256.222 101.095
5 667 245.226 77.1473
4 681 367.23 202.466
5 681 370.037 200.235
4 697 424.098 198.162
5 697 430.084 195.755
4 709 434.152 207.517
5 709 442.117 205.25
4 717 92.1539 174.457
5 717 79.2818 170.754
4 731 586.574 224.502
5 731 603.193 223.536
4 771 353.511 224.874
5 771 355.372 224.034
4 777 396.679 118.536
5 777 411.876 94.4637
4 804 187.263 205.14
5 804 178.841 202.928
4 815 439.53 78.8935
5 815 452.862 60.9238
4 837 253.082 140.857
5 837 249.128 135.0
4 846 180.626 232.043
5 846 173.055 231.611
4 866 204.711 186.876
5 866 199.826 184.625
4 867 298.544 195.046
5 867 296.186 190.105
4 882 436.503 182.777
5 882 446.45 177.892
4 885 474.045 138.337
5 885 484.159 131.662
4 886 210.971 167.973
5 886 203.834 163.258
4 892 326.44 168.579
5 892 326.727 165.402
4 898 273.311 234.501
5 898 271.089 234.24
4 905 94.3595 108.745
5 905 73.7482 96.7558
4 910 85.9502 156.613
5 910 61.5937 147.935
4 911 185.403 198.226
5 911 179.579 196.418
4 920 195.997 209.731
5 920 189.818 208.222
4 926 224.628 228.58
5 926 220.579 228.095
4 928 240.573 188.375
5 928 234.697 184.556
4 935 507.799 228.929
5 935 517.008 228.386
4 939 254.293 206.683
5 939 250.564 204.792
4 963 296.246 179.435
5 963 294.107 173.982
4 971 347.56 183.746
5 971 350.184 178.39
4 989 155.725 235.451
5 989 135.041 234.878
5 3 297.2 193.98
6 3 296.067 191.692
5 17 298.845 53.3247
6 17 296.23 30.2547
5 35 563.345 209.595
6 35 577.9 207.776
5 42 296.779 154.897
6 42 295.003 148.386
5 44 102.63 116.032
6 44 71.82 98.4607
5 45 464.86 233.604
6 45 472.221 233.279
5 49 213.534 168.668
6 49 208.803 165.498
5 54 509.174 182.074
6 54 519.553 178.896
5 56 612.325 189.82
6 56 630.69 186.667
5 57 440.097 142.086
6 57 456.127 129.016
5 59 479.102 211.439
6 59 488.656 209.724
5 61 66.5335 149.937
6 61 52.9836 145.123
5 62 612.116 204.404
6 62 624.312 202.918
5 64 271.91 177.514
6 64 267.008 171.145
5 75 210.951 212.823
6 75 206.377 211.683
5 82 192.186 176.496
6 82 186.701 173.771
5 84 486.504 157.128
6 84 497.487 151.662
5 115 262.971 165.738
6 115 259.85 161.674
5 120 221.363 179.57
6 120 216.159 176.382
5 134 94.0384 157.542
6 134 79.7749 152.337
5 140 150.009 184.508
6 140 141.153 181.617
5 152 587.134 145.259
6 152 602.325 139.872
5 161 53.8325 157.298
6 161 38.4345 152.514
5 169 153.561 132.653
6 169 125.473 114.538
